Dataset	Domains	w/ R	DWR/D	R/DWR	I	Mix I+E	E	Insec	Mix sec	Sec	Final sec	Mism
alexa.2014-09-01.top.se.10000-http-www	2895	863	0.2981001727115717	1.146002317497103	0.8980301274623407	0.002317497103128621	0.07879490150637311	0.8192352259559675	0.010428736964078795	0.14947856315179606	0.15990730011587487	0.02085747392815759
alexa.2014-09-01.top.dk.10000-http-www	2310	833	0.3606060606060606	1.1944777911164466	0.8715486194477791	0.010804321728691477	0.07322929171668667	0.8331332533013205	0.01680672268907563	0.1056422569027611	0.1212484993997599	0.04441776710684274
alexa.2014-09-01.top.10000-http-www	8682	2702	0.31121861322275973	1.2427831236121392	0.8645447816432272	0.01147298297557365	0.08697261287934863	0.7890451517394522	0.024056254626202814	0.14951887490747595	0.17061435973353073	0.03774981495188749
se.2014-07-10.random.100000-http-www	77261	18765	0.24287803678440611	1.2626165734079404	0.41007194244604317	0.0035171862509992004	0.5338129496402878	0.9086597388755662	0.01630695443645084	0.023394617639221956	0.03852917665867306	0.05259792166266986
dk.2014-07-23.random.10000-http-www	7378	2025	0.2744646245595012	1.2982716049382717	0.36493827160493825	0.01037037037037037	0.5575308641975308	0.8933333333333333	0.017777777777777778	0.02271604938271605	0.03901234567901234	0.06765432098765432
com.2014-08-29.random.10000-http-www	7811	1968	0.2519523748559723	1.2266260162601625	0.46697154471544716	0.007113821138211382	0.49339430894308944	0.9176829268292683	0.033028455284552845	0.01676829268292683	0.046239837398373985	0.03353658536585366
net.2014-08-29.random.10000-http-www	7378	1874	0.25399837354296556	1.25880469583778	0.3767342582710779	0.0026680896478121665	0.5944503735325507	0.9178228388473852	0.04055496264674493	0.015474919957310566	0.05549626467449306	0.026147278548559232
alexa.2014-09-01.random.10000-http-www	8493	2571	0.3027198869657365	1.1338000777907429	0.8584208479190977	0.010501750291715286	0.09607156748346947	0.8716452742123687	0.010890704006223259	0.08284714119019837	0.09023726176584987	0.035783741734733567
