Dataset	Domains	1xx	2xx	3xx	301	302	303	307	4xx	5xx	(null)
alexa.2014-09-01.top.se.10000-http-www	3281	0	0.6193233770192015	0.26302956415726914	0.18744285278878392	0.07131971959768363	0.0027430661383724473	0.0012191405059433099	0	0	0.11764705882352941
alexa.2014-09-01.top.dk.10000-http-www	2577	0	0.5731470702367093	0.323244082266201	0.23903764066744276	0.08149010477299184	0.002328288707799767	0.00038804811796662784	0	0	0.10360884749708964
alexa.2014-09-01.top.10000-http-www	9759	0	0.6127677016087714	0.27687263039245824	0.18741674351880316	0.0879188441438672	0.0006148170919151552	0.0009222256378727329	0	0	0.11035966799877037
se.2014-07-10.random.100000-http-www	99428	0	0.5883252202598865	0.18872953292835015	0.1295510319024822	0.057790562014724225	0.0011767309007523032	0.00021120811039143902	0	0	0.22294524681176328
dk.2014-07-23.random.10000-http-www	9967	0	0.5370723387177686	0.20317046252633691	0.14076452292565467	0.06090097321159828	0.0014046352964783787	0.00010033109260559848	0	0	0.2597571987558944
com.2014-08-29.random.10000-http-www	9965	0	0.5863522328148519	0.197491219267436	0.10888108379327646	0.08780732563973909	0.0007024586051179127	0.00010035122930255896	0	0	0.216156547917712
net.2014-08-29.random.10000-http-www	9971	0	0.5520008023267475	0.1879450406177916	0.10390131381004915	0.08324140006017451	0.0006017450606759602	0.00020058168689198675	0	0	0.2600541570554608
alexa.2014-09-01.random.10000-http-www	9779	0	0.6055833929849678	0.2629103180284283	0.19040801717967074	0.06902546272625013	0.0030677983433888946	0.00040903977911851925	0	0	0.13150628898660394
