Dataset	Domains	Int insec	Mix int sec	Int sec	Ext insec	Mix ext sec	Ext sec	All insec	Mix sec	All sec
alexa.2014-09-01.random.10000-http	8216	0.9505683995401711	0.02605696768425092	0.02337463277557798	0.42524041628243975	0.5439336055855619	0.03082597813199842	0.45523950252431966	0.5241965275212412	0.02056396995443911
alexa.2014-09-01.random.10000-http-www	8493	0.9505556249219628	0.02259957547758773	0.026844799600449495	0.43309904153354634	0.5371246006389776	0.02977635782747604	0.4642219311822836	0.5122038337897369	0.02357423502797952
alexa.2014-09-01.random.10000-https	1135	0.4059040590405904	0.21402214022140226	0.3800738007380074	0.14458955223880596	0.5382462686567163	0.31716417910447764	0.11359570661896243	0.6028622540250447	0.28354203935599287
alexa.2014-09-01.random.10000-https-www	1224	0.2546531302876481	0.21489001692047377	0.5304568527918782	0.11325724319578578	0.44337137840210705	0.4433713784021071	0.08738664468260511	0.5028854080791426	0.4097279472382523
alexa.2014-09-01.top.10000-http	8545	0.8908778813143697	0.06645414418832762	0.0426679744973026	0.3501712328767123	0.5990704500978474	0.050758317025440314	0.35624852350578784	0.602173399480274	0.041578077013938106
alexa.2014-09-01.top.10000-http-www	8682	0.8905982905982905	0.06068376068376069	0.04871794871794872	0.35348051634696587	0.5947641452527446	0.05175533840028954	0.3610368476112984	0.5922352667674067	0.046727885621294894
alexa.2014-09-01.top.10000-https	2507	0.4353628023352794	0.1955796497080901	0.36905754795663054	0.13761080624736174	0.5225833685099197	0.33980582524271846	0.1098546042003231	0.5646203554119548	0.3255250403877221
alexa.2014-09-01.top.10000-https-www	2957	0.3590733590733591	0.21340821340821342	0.4275184275184275	0.1253123884327026	0.5069617993573725	0.367725812209925	0.10279101429543908	0.55071477195371	0.34649421375085093
alexa.2014-09-01.top.dk.10000-http	2263	0.9427131072410633	0.02383134738771764	0.033455545371219066	0.39091760299625467	0.5688202247191011	0.040262172284644196	0.4130724766562917	0.5558025789239662	0.031124944419742107
alexa.2014-09-01.top.dk.10000-http-www	2310	0.9425858951175407	0.019891500904159143	0.03752260397830018	0.3982584784601283	0.5604949587534372	0.04124656278643447	0.4201826881252719	0.5454545454545454	0.03436276642018269
