Dataset	Domains	Any	Disconnect	Content	Advertising	Analytics	Social
se.healthstatus.2013.counties-http-www	21	0.9523809523809523	0.8571428571428571	0.5714285714285714	0	0.09523809523809523	0.09523809523809523
se.healthstatus.2013.domain-registrars-http-www	113	0.9203539823008849	0.8407079646017699	0.6548672566371682	0.11504424778761062	0.061946902654867256	0.008849557522123894
se.healthstatus.2013.financial-services-http-www	71	0.8028169014084507	0.6619718309859155	0.43661971830985913	0.2535211267605634	0.18309859154929578	0.028169014084507043
se.healthstatus.2013.gocs-http-www	55	0.9818181818181818	0.9818181818181818	0.6181818181818182	0.23636363636363636	0.12727272727272726	0.10909090909090909
se.healthstatus.2013.higher-education-http-www	44	1	0.9772727272727273	0.5909090909090909	0	0.1590909090909091	0.18181818181818182
se.healthstatus.2013.isps-http-www	19	1	0.8421052631578947	0.7894736842105263	0.5263157894736842	0.2631578947368421	0.10526315789473684
se.healthstatus.2013.media-http-www	27	1	0.9259259259259259	0.8518518518518519	0.9259259259259259	0.5555555555555556	0.14814814814814814
se.healthstatus.2013.municipalities-http-www	258	0.9612403100775194	0.8449612403100775	0.7015503875968992	0.011627906976744186	0.20930232558139536	0.13953488372093023
se.healthstatus.2013.public-authorities-http-www	188	0.9468085106382979	0.851063829787234	0.4946808510638298	0.03723404255319149	0.1276595744680851	0.0797872340425532
reach50.2014w35.se-http-www	42	0.9523809523809523	0.7142857142857143	0.5714285714285714	0.5714285714285714	0.5	0.047619047619047616
alexa.2014-09-01.top.se.10000-http-www	2779	0.9683339330694495	0.9024829075206909	0.7538682979489025	0.2965095358042461	0.24937027707808565	0.10759265922993883
se.2014-07-10.random.100000-http-www	57547	0.7588058456565937	0.5314959945783446	0.5754600587345996	0.060958868403218236	0.09154256520756947	0.039845691347941685
