Rank	Value
0	0
10	0
100	0
1000	5
10000	4.333333333333333
20000	3.3333333333333335
30000	0
40000	4.5
50000	9.333333333333334
60000	1.5
70000	3.5
80000	36
90000	16
100000	4.478260869565218
200000	3.5384615384615383
300000	6.076923076923077
400000	2.15
500000	5.695652173913044
600000	3.125
700000	2.967741935483871
800000	3.12
900000	1.5384615384615385
1000000	0
