Dataset	Domains	Same domain	Subdomain	Superdomain	Same primary	Internal	Mixed	External
alexa.2014-09-01.top.10000-http-www	8682	0.021769177608845888	0	0.002994701681640175	0.03616678184750058	0.03616678184750058	0.9162635337479843	0.04756968440451509
alexa.2014-09-01.top.10000-https-www	2957	0.02705444707473791	0	0.0033818058843422386	0.04633074061548867	0.04633074061548867	0.9235711870138654	0.030098072370645924
alexa.2014-09-01.top.se.10000-http-www	2895	0.030397236614853194	0	0.0037996545768566492	0.03730569948186528	0.03730569948186528	0.9174438687392056	0.045250431778929186
alexa.2014-09-01.top.se.10000-https-www	650	0.023076923076923078	0	0.0015384615384615385	0.027692307692307693	0.027692307692307693	0.9538461538461539	0.018461538461538463
se.2014-07-10.random.100000-http-www	77261	0.1778775837744787	0	0.026041599254475092	0.20864342941458175	0.20864342941458175	0.4243538136964315	0.3670027568889867
se.2014-07-10.random.100000-https-www	328	0.10670731707317073	0	0.006097560975609756	0.11280487804878049	0.11280487804878049	0.8536585365853658	0.03353658536585366
se.healthstatus.2013.municipalities-http-www	271	0.04797047970479705	0	0	0.04797047970479705	0.04797047970479705	0.948339483394834	0.0036900369003690036
se.healthstatus.2013.municipalities-https-www	54	0.07407407407407407	0	0	0.07407407407407407	0.07407407407407407	0.9259259259259259	0
