Dataset	Domains	w/ R	DWR/D	R/DWR	I	Mix I+E	E	Insec	Mix sec	Sec	Final sec	Mism
alexa.2014-09-01.top.se.10000-https-www	650	268	0.4123076923076923	1.2164179104477613	0.9365671641791045	0	0.022388059701492536	0.6529850746268657	0.03731343283582089	0.26865671641791045	0.27611940298507465	0.041044776119402986
alexa.2014-09-01.top.dk.10000-https-www	441	232	0.5260770975056689	1.2758620689655173	0.8922413793103449	0.01293103448275862	0.03879310344827586	0.6508620689655172	0.04310344827586207	0.25	0.27586206896551724	0.05603448275862069
alexa.2014-09-01.top.10000-https-www	2957	1536	0.5194453838349679	1.2428385416666667	0.9231770833333334	0.011067708333333334	0.03515625	0.6875	0.055989583333333336	0.2265625	0.24479166666666666	0.030598958333333332
se.2014-07-10.random.100000-https-www	328	115	0.35060975609756095	1.2695652173913043	0.8782608695652174	0.017391304347826087	0.06956521739130435	0.41739130434782606	0.034782608695652174	0.5130434782608696	0.5217391304347826	0.034782608695652174
dk.2014-07-23.random.10000-https-www	32	15	0.46875	1.2666666666666666	0.7333333333333333	0	0.06666666666666667	0.3333333333333333	0.06666666666666667	0.4	0.4666666666666667	0.2
com.2014-08-29.random.10000-https-www	55	23	0.41818181818181815	1.2173913043478262	0.9130434782608695	0	0.043478260869565216	0.5217391304347826	0.08695652173913043	0.34782608695652173	0.34782608695652173	0.043478260869565216
net.2014-08-29.random.10000-https-www	28	8	0.2857142857142857	1	0.75	0	0.125	0.625	0	0.25	0.25	0.125
alexa.2014-09-01.random.10000-https-www	1224	470	0.3839869281045752	1.2319148936170212	0.9234042553191489	0.00851063829787234	0.036170212765957444	0.6148936170212767	0.04680851063829787	0.30425531914893617	0.32127659574468087	0.03404255319148936
