Dataset	Domains	Any	Disconnect	Content	Advertising	Analytics	Social
alexa.2014-09-01.top.se.10000-http-www	2779	0.9683339330694495	0.9024829075206909	0.7538682979489025	0.2965095358042461	0.24937027707808565	0.10759265922993883
alexa.2014-09-01.top.dk.10000-http-www	2182	0.9734188817598534	0.8945921173235564	0.773602199816682	0.2928505957836847	0.21173235563703025	0.0921173235563703
alexa.2014-09-01.top.10000-http-www	8289	0.951019423332127	0.8493183737483412	0.7285559174809989	0.5374592833876222	0.45204487875497645	0.12932802509349742
se.2014-07-10.random.100000-http-www	57547	0.7588058456565937	0.5314959945783446	0.5754600587345996	0.060958868403218236	0.09154256520756947	0.039845691347941685
dk.2014-07-23.random.10000-http-www	4773	0.7710035617012361	0.5133040016760947	0.5904043578462184	0.06599622878692646	0.09595642153781689	0.056149172428242196
com.2014-08-29.random.10000-http-www	6241	0.8386476526197725	0.6869091491748117	0.6986059926293863	0.09886236180099343	0.30876462105431823	0.045185066495753885
net.2014-08-29.random.10000-http-www	5839	0.8290803219729406	0.692070560027402	0.70080493235143	0.09470799794485357	0.32351430039390305	0.039561568761774274
alexa.2014-09-01.random.10000-http-www	7825	0.9467092651757189	0.8094568690095847	0.72370607028754	0.2959744408945687	0.2701597444089457	0.15706070287539936
