Dataset	Domains	Any	Disconnect	Content	Advertising	Analytics	Social
alexa.2014-09-01.top.se.10000-https-www	630	0.9841269841269842	0.9396825396825397	0.7619047619047619	0.32063492063492066	0.25396825396825395	0.08571428571428572
alexa.2014-09-01.top.dk.10000-https-www	406	0.9630541871921182	0.874384236453202	0.729064039408867	0.42610837438423643	0.2684729064039409	0.07389162561576355
alexa.2014-09-01.top.10000-https-www	2801	0.9700107104605498	0.8457693680828275	0.76472688325598	0.535166012138522	0.4173509460906819	0.09925026776151374
se.2014-07-10.random.100000-https-www	285	0.9508771929824561	0.8526315789473684	0.6491228070175439	0.16140350877192983	0.15087719298245614	0.05964912280701754
dk.2014-07-23.random.10000-https-www	22	0.9545454545454546	0.7727272727272727	0.7272727272727273	0.2727272727272727	0.22727272727272727	0.045454545454545456
com.2014-08-29.random.10000-https-www	43	0.9302325581395349	0.7209302325581395	0.7441860465116279	0.20930232558139536	0.27906976744186046	0.06976744186046512
net.2014-08-29.random.10000-https-www	20	0.9	0.75	0.8	0.05	0.05	0.05
alexa.2014-09-01.random.10000-https-www	1139	0.9631255487269534	0.8955223880597015	0.7313432835820896	0.26865671641791045	0.23968393327480245	0.11676909569798069
