Rank	Value
0	0
10	0
100	1
1000	9.25
10000	8.166666666666666
20000	5.2
30000	8
40000	4
50000	4.066666666666666
60000	4.384615384615385
70000	4.733333333333333
80000	4.25
90000	3.75
100000	4.078431372549019
200000	3.271889400921659
300000	2.8130841121495327
400000	2.976470588235294
500000	3.1346153846153846
600000	2.559055118110236
700000	2.6958333333333333
800000	2.2127659574468086
900000	2.0470588235294116
1000000	0
