Dataset	Domains	Any	Disconnect	Content	Advertising	Analytics	Social
alexa.2014-09-01.top.10000-http-www	8289	0.951019423332127	0.8493183737483412	0.7285559174809989	0.5374592833876222	0.45204487875497645	0.12932802509349742
alexa.2014-09-01.top.10000-https-www	2801	0.9700107104605498	0.8457693680828275	0.76472688325598	0.535166012138522	0.4173509460906819	0.09925026776151374
alexa.2014-09-01.top.se.10000-http-www	2779	0.9683339330694495	0.9024829075206909	0.7538682979489025	0.2965095358042461	0.24937027707808565	0.10759265922993883
alexa.2014-09-01.top.se.10000-https-www	630	0.9841269841269842	0.9396825396825397	0.7619047619047619	0.32063492063492066	0.25396825396825395	0.08571428571428572
se.2014-07-10.random.100000-http-www	57547	0.7588058456565937	0.5314959945783446	0.5754600587345996	0.060958868403218236	0.09154256520756947	0.039845691347941685
se.2014-07-10.random.100000-https-www	285	0.9508771929824561	0.8526315789473684	0.6491228070175439	0.16140350877192983	0.15087719298245614	0.05964912280701754
se.healthstatus.2013.municipalities-http-www	258	0.9612403100775194	0.8449612403100775	0.7015503875968992	0.011627906976744186	0.20930232558139536	0.13953488372093023
se.healthstatus.2013.municipalities-https-www	50	0.96	0.92	0.6	0	0.16	0.14
