Dataset	Domains	Int insec	Mix int sec	Int sec	Ext insec	Mix ext sec	Ext sec	All insec	Mix sec	All sec
alexa.2014-09-01.top.10000-http-www	8682	0.8905982905982905	0.06068376068376069	0.04871794871794872	0.35348051634696587	0.5947641452527446	0.05175533840028954	0.3610368476112984	0.5922352667674067	0.046727885621294894
alexa.2014-09-01.top.10000-https-www	2957	0.3590733590733591	0.21340821340821342	0.4275184275184275	0.1253123884327026	0.5069617993573725	0.367725812209925	0.10279101429543908	0.55071477195371	0.34649421375085093
alexa.2014-09-01.top.se.10000-http-www	2895	0.9332365747460087	0.021044992743105895	0.045718432510885344	0.3832313781935948	0.5703490464195753	0.046419575386829795	0.3986837547627295	0.5594042258399723	0.04191201939729823
alexa.2014-09-01.top.se.10000-https-www	650	0.2783018867924528	0.1556603773584906	0.5660377358490566	0.13015873015873017	0.43174603174603177	0.4380952380952381	0.12037037037037036	0.4799382716049383	0.39969135802469136
se.2014-07-10.random.100000-http-www	77261	0.9971972104519774	0.0006179378531073754	0.002184851694915254	0.501485742089075	0.37769127843328065	0.12082297947764437	0.6101375106899969	0.2997678743535097	0.09009461495649342
se.2014-07-10.random.100000-https-www	328	0.15112540192926044	0.14147909967845657	0.707395498392283	0.10526315789473684	0.3263157894736842	0.5684210526315789	0.08074534161490683	0.35714285714285715	0.562111801242236
se.healthstatus.2013.municipalities-http-www	271	0.9888888888888889	0	0.011111111111111112	0.5193798449612403	0.46899224806201545	0.011627906976744186	0.5424354243542435	0.4464944649446495	0.01107011070110701
se.healthstatus.2013.municipalities-https-www	54	0.25925925925925924	0.1296296296296296	0.6111111111111112	0.16	0.6	0.24	0.14814814814814814	0.6111111111111112	0.24074074074074073
