Dataset	Domains	facebook.com	twitter.com	cloudfront.net	addthis.com	newrelic.com	optimizely.com	scorecardresearch.com
alexa.2014-09-01.random.10000-http	8216	0.26043999473060203	0.16769859043604268	0.07746015017784218	0.07587933078645764	0.03319720721907522	0.010011856145435384	0.12132788828876301
alexa.2014-09-01.random.10000-http-www	8493	0.2599361022364217	0.169073482428115	0.07603833865814696	0.07463258785942492	0.031309904153354634	0.009712460063897763	0.12115015974440894
alexa.2014-09-01.random.10000-https	1135	0.2490671641791045	0.21455223880597016	0.1296641791044776	0.07555970149253731	0.058768656716417914	0.026119402985074626	0.11100746268656717
alexa.2014-09-01.random.10000-https-www	1224	0.17471466198419666	0.16769095697980685	0.14047410008779632	0.06760316066725197	0.05794556628621598	0.03775241439859526	0.0913081650570676
alexa.2014-09-01.top.10000-http	8545	0.361545988258317	0.2276174168297456	0.18835616438356165	0.08096868884540118	0.07852250489236791	0.057607632093933464	0.22981898238747553
alexa.2014-09-01.top.10000-http-www	8682	0.36047774158523344	0.22873688020267824	0.1896489323199421	0.08324285197249366	0.07648691036313186	0.057063578236216675	0.22765110387260223
alexa.2014-09-01.top.10000-https	2507	0.326720135078092	0.21907978049810045	0.23934149430139298	0.056563951034191644	0.12157028281975517	0.09455466441536513	0.17349092444069228
alexa.2014-09-01.top.10000-https-www	2957	0.26811852909675116	0.19457336665476616	0.2320599785790789	0.057479471617279544	0.10531952873973581	0.09603712959657265	0.16779721528025704
alexa.2014-09-01.top.dk.10000-http	2263	0.29447565543071164	0.0852059925093633	0.11282771535580524	0.06741573033707865	0.03651685393258427	0.018726591760299626	0.08239700374531835
alexa.2014-09-01.top.dk.10000-http-www	2310	0.28689275893675525	0.08111824014665445	0.10953253895508708	0.06782768102658111	0.03895508707607699	0.01833180568285976	0.08340971585701192
alexa.2014-09-01.top.dk.10000-https	339	0.22784810126582278	0.08227848101265822	0.17721518987341772	0.06645569620253164	0.06645569620253164	0.04746835443037975	0.08860759493670886
