Dataset	Domains	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
alexa.2014-09-01.random.10000-http	8216	0.8118305744888024	0.2592502434274586	0.16041869522882182	0.004746835443037975	0.0892161635832522	0.029211295034079845	0.02689873417721519	0.07047224926971762	0.06475170399221032	0.11270691333982473	0.0376095423563778
alexa.2014-09-01.random.10000-http-www	8493	0.8067820558106676	0.25727069351230425	0.1608383374543742	0.004945249028611798	0.08607088190274344	0.029436006122689273	0.027669845755327917	0.06911574237607442	0.06087366066172142	0.11244554338867302	0.037324855763569996
alexa.2014-09-01.random.10000-https	1135	0.8801762114537445	0.3312775330396476	0.20704845814977973	0.0052863436123348016	0.14008810572687225	0.030837004405286344	0.021145374449339206	0.0722466960352423	0.06607929515418502	0.1092511013215859	0.03171806167400881
alexa.2014-09-01.random.10000-https-www	1224	0.8594771241830066	0.2834967320261438	0.16094771241830066	0.005718954248366013	0.13398692810457516	0.0392156862745098	0.02042483660130719	0.06372549019607843	0.07352941176470588	0.08823529411764706	0.027777777777777776
alexa.2014-09-01.top.10000-http	8545	0.8495026331187829	0.3673493270918666	0.22422469280280866	0.014745465184318315	0.19391456992393213	0.09923932124049152	0.042012873025160914	0.07758923346986542	0.1692217671152721	0.22129900526623755	0.10099473376243417
alexa.2014-09-01.top.10000-http-www	8682	0.8426629808799816	0.3658143284957383	0.22391154111955772	0.01520387007601935	0.1953466943100668	0.10101359133840129	0.04111955770559779	0.07958995623128312	0.16413268832066344	0.218728403593642	0.10158949550794748
alexa.2014-09-01.top.10000-https	2507	0.8699641005185481	0.3897088153171121	0.2157957718388512	0.013562026326286399	0.2377343438372557	0.08296769046669326	0.03709613083366574	0.053849222177901876	0.15795771838851216	0.1655364978061428	0.10251296370163542
alexa.2014-09-01.top.10000-https-www	2957	0.8552587081501521	0.3571187013865404	0.19174839364220495	0.014203584714237404	0.23165370307744335	0.10348326006087251	0.041596212377409535	0.05478525532634427	0.15556307067974298	0.161650321271559	0.08758877240446399
alexa.2014-09-01.top.dk.10000-http	2263	0.8908528501988511	0.29783473265576665	0.0830755634114008	0.009279717189571365	0.10737958462218294	0.034909412284577994	0.011489173663278833	0.06363234644277507	0.09323906319045515	0.08440123729562528	0.003535130357931949
alexa.2014-09-01.top.dk.10000-http-www	2310	0.8887445887445887	0.2935064935064935	0.07965367965367966	0.003463203463203463	0.10476190476190476	0.033766233766233764	0.011255411255411256	0.06406926406926407	0.08614718614718615	0.08571428571428572	0.003463203463203463
alexa.2014-09-01.top.dk.10000-https	339	0.8407079646017699	0.32448377581120946	0.07669616519174041	0.02359882005899705	0.16519174041297935	0.058997050147492625	0.0058997050147492625	0.061946902654867256	0.13864306784660768	0.08259587020648967	0.0029498525073746312
alexa.2014-09-01.top.dk.10000-https-www	441	0.8299319727891157	0.30158730158730157	0.06349206349206349	0.013605442176870748	0.15192743764172337	0.07936507936507936	0.009070294784580499	0.05895691609977324	0.1292517006802721	0.08163265306122448	0.0045351473922902496
alexa.2014-09-01.top.se.10000-http	2797	0.895244905255631	0.3199856989631748	0.12549159814086522	0.02466928852341795	0.10404004290311047	0.04254558455488023	0.015731140507686807	0.07829817661780479	0.11691097604576332	0.10439756882373973	0.009295673936360386
