Dataset	Domains	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
reach50.2014w35.se-http-www	42	0.7619047619047619	0.23809523809523808	0.11904761904761904	0.047619047619047616	0.11904761904761904	0.11904761904761904	0.023809523809523808	0.023809523809523808	0.14285714285714285	0.23809523809523808	0.047619047619047616
reach50.2014w35.se-https	18	0.6666666666666666	0.1111111111111111	0.1111111111111111	0	0.16666666666666666	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.3333333333333333	0.05555555555555555
reach50.2014w35.se-https-www	26	0.7692307692307693	0.038461538461538464	0.07692307692307693	0	0.07692307692307693	0.038461538461538464	0.038461538461538464	0	0.038461538461538464	0.19230769230769232	0.038461538461538464
se.2014-07-10.random.100000-http	73605	0.5310508796956729	0.0951022349025202	0.03031044086678894	0.002418313973235514	0.0357584403233476	0.007934243597581686	0.0044018748726309355	0.018830242510699	0.008504857006996807	0.02782419672576591	0.004755111745126011
se.2014-07-10.random.100000-http-www	77261	0.5252197098147836	0.09276348998848061	0.02931621387245829	0.0022909359185099855	0.03459701531173555	0.008024747285176222	0.004568928696237429	0.018767554134686323	0.0084777572125652	0.027348856473511863	0.004750132667193021
se.2014-07-10.random.100000-https	282	0.7304964539007093	0.23049645390070922	0.03900709219858156	0.010638297872340425	0.09929078014184398	0.02127659574468085	0.0070921985815602835	0.031914893617021274	0.01773049645390071	0.03546099290780142	0
se.2014-07-10.random.100000-https-www	328	0.7896341463414634	0.20426829268292682	0.027439024390243903	0.009146341463414634	0.125	0.03353658536585366	0.003048780487804878	0.03353658536585366	0.036585365853658534	0.042682926829268296	0
se.healthstatus.2013.counties-http	18	0.8333333333333334	0.05555555555555555	0.05555555555555555	0	0	0	0	0.05555555555555555	0	0.1111111111111111	0
se.healthstatus.2013.counties-http-www	21	0.8571428571428571	0.09523809523809523	0.047619047619047616	0	0	0	0	0.047619047619047616	0	0.09523809523809523	0
se.healthstatus.2013.counties-https	3	1	0	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.counties-https-www	6	0.8333333333333334	0	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.domain-registrars-http	127	0.7637795275590551	0.15748031496062992	0.07874015748031496	0.015748031496062992	0.047244094488188976	0.05511811023622047	0	0.015748031496062992	0.05511811023622047	0.015748031496062992	0
se.healthstatus.2013.domain-registrars-http-www	134	0.7611940298507462	0.15671641791044777	0.07462686567164178	0.007462686567164179	0.04477611940298507	0.04477611940298507	0	0.007462686567164179	0.05223880597014925	0.007462686567164179	0
se.healthstatus.2013.domain-registrars-https	40	0.775	0.275	0.125	0.025	0.075	0.025	0	0	0.125	0	0
se.healthstatus.2013.domain-registrars-https-www	42	0.7619047619047619	0.23809523809523808	0.09523809523809523	0	0.07142857142857142	0.07142857142857142	0	0	0.09523809523809523	0	0
se.healthstatus.2013.financial-services-http	67	0.7014925373134329	0.07462686567164178	0.029850746268656716	0	0.04477611940298507	0.11940298507462686	0.014925373134328358	0.029850746268656716	0.05970149253731343	0.04477611940298507	0
se.healthstatus.2013.financial-services-http-www	72	0.6944444444444444	0.06944444444444445	0.027777777777777776	0	0.041666666666666664	0.125	0.013888888888888888	0.027777777777777776	0.06944444444444445	0.041666666666666664	0
se.healthstatus.2013.financial-services-https	16	0.8125	0.125	0.0625	0	0.0625	0.1875	0	0.0625	0.0625	0.125	0
se.healthstatus.2013.financial-services-https-www	31	0.8709677419354839	0.0967741935483871	0.03225806451612903	0	0.0967741935483871	0.1935483870967742	0	0.06451612903225806	0.06451612903225806	0.0967741935483871	0
se.healthstatus.2013.gocs-http	49	0.9795918367346939	0.08163265306122448	0.04081632653061224	0	0.12244897959183673	0	0	0.10204081632653061	0.061224489795918366	0.10204081632653061	0
se.healthstatus.2013.gocs-http-www	57	0.9298245614035088	0.08771929824561403	0.07017543859649122	0	0.12280701754385964	0	0	0.08771929824561403	0.05263157894736842	0.10526315789473684	0
se.healthstatus.2013.gocs-https	4	1	0.25	0.5	0	0.25	0	0	0	0	0	0
se.healthstatus.2013.gocs-https-www	9	1	0.2222222222222222	0.2222222222222222	0	0.2222222222222222	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0
se.healthstatus.2013.higher-education-http	40	0.95	0.15	0.125	0	0.025	0	0.025	0.125	0	0.125	0
se.healthstatus.2013.higher-education-http-www	47	0.9148936170212766	0.19148936170212766	0.10638297872340426	0	0.02127659574468085	0	0.02127659574468085	0.10638297872340426	0	0.14893617021276595	0
se.healthstatus.2013.higher-education-https	9	1	0.2222222222222222	0.2222222222222222	0	0	0	0	0.2222222222222222	0	0.2222222222222222	0
se.healthstatus.2013.higher-education-https-www	24	1	0.25	0.125	0	0.041666666666666664	0	0.041666666666666664	0.16666666666666666	0	0.25	0
se.healthstatus.2013.isps-http	18	0.8888888888888888	0.16666666666666666	0	0.05555555555555555	0.2777777777777778	0.1111111111111111	0	0.1111111111111111	0.16666666666666666	0.1111111111111111	0
se.healthstatus.2013.isps-http-www	19	0.8947368421052632	0.21052631578947367	0	0.05263157894736842	0.2631578947368421	0.10526315789473684	0	0.10526315789473684	0.2631578947368421	0.10526315789473684	0
se.healthstatus.2013.isps-https	6	0.8333333333333334	0.16666666666666666	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0	0.16666666666666666	0.5	0.16666666666666666	0
se.healthstatus.2013.isps-https-www	10	0.8	0.1	0	0	0.1	0.2	0	0.1	0.3	0.1	0
se.healthstatus.2013.media-http	26	0.8461538461538461	0.5769230769230769	0.2692307692307692	0	0.46153846153846156	0.07692307692307693	0	0.15384615384615385	0.2692307692307692	0.2692307692307692	0
se.healthstatus.2013.media-http-www	28	0.8928571428571429	0.6071428571428571	0.25	0.03571428571428571	0.4642857142857143	0.07142857142857142	0	0.14285714285714285	0.21428571428571427	0.35714285714285715	0
se.healthstatus.2013.media-https	4	0.75	0.75	0.25	0	0.75	0	0	0	0.25	0	0
se.healthstatus.2013.media-https-www	5	1	0.6	0.2	0	0.4	0	0	0	0.2	0.2	0
se.healthstatus.2013.municipalities-http	249	0.891566265060241	0.1285140562248996	0.028112449799196786	0.004016064257028112	0.18072289156626506	0.008032128514056224	0.004016064257028112	0.1285140562248996	0	0.13253012048192772	0
se.healthstatus.2013.municipalities-http-www	271	0.8892988929889298	0.09225092250922509	0.01845018450184502	0.0036900369003690036	0.18081180811808117	0.01107011070110701	0.007380073800738007	0.12915129151291513	0	0.13284132841328414	0
se.healthstatus.2013.municipalities-https	44	0.8636363636363636	0.13636363636363635	0.022727272727272728	0	0.13636363636363635	0	0	0.09090909090909091	0	0.11363636363636363	0
se.healthstatus.2013.municipalities-https-www	54	0.8703703703703703	0.14814814814814814	0.018518518518518517	0	0.09259259259259259	0	0	0.1111111111111111	0	0.12962962962962962	0
se.healthstatus.2013.public-authorities-http	170	0.8705882352941177	0.07647058823529412	0.07647058823529412	0	0.01764705882352941	0.023529411764705882	0.011764705882352941	0.052941176470588235	0.0058823529411764705	0.07647058823529412	0
se.healthstatus.2013.public-authorities-http-www	203	0.8571428571428571	0.059113300492610835	0.059113300492610835	0	0.019704433497536946	0.024630541871921183	0.009852216748768473	0.04433497536945813	0.0049261083743842365	0.06896551724137931	0
se.healthstatus.2013.public-authorities-https	18	0.7777777777777778	0.05555555555555555	0	0	0	0	0	0.05555555555555555	0	0.1111111111111111	0
se.healthstatus.2013.public-authorities-https-www	37	0.8918918918918919	0.05405405405405406	0.05405405405405406	0	0.08108108108108109	0.05405405405405406	0	0.10810810810810811	0	0.16216216216216217	0
