Dataset	Domains w/ ext	html	script	style	image	data	text	font	object	document	(null)
se.healthstatus.2013.gocs-https-www	9	0.5555555555555556	1	0.5555555555555556	0.8888888888888888	0.1111111111111111	0.1111111111111111	0.3333333333333333	0	0	0.6666666666666666
se.healthstatus.2013.higher-education-http	38	0.4473684210526316	0.9736842105263158	0.47368421052631576	0.9473684210526315	0.02631578947368421	0	0.02631578947368421	0	0	0.3684210526315789
se.healthstatus.2013.higher-education-http-www	44	0.4318181818181818	0.9545454545454546	0.4772727272727273	0.9090909090909091	0.022727272727272728	0	0.022727272727272728	0	0	0.38636363636363635
se.healthstatus.2013.higher-education-https	9	0.5555555555555556	1	0.4444444444444444	1	0	0	0	0	0	0.5555555555555556
se.healthstatus.2013.higher-education-https-www	24	0.5416666666666666	1	0.3333333333333333	0.9583333333333334	0	0	0.041666666666666664	0	0	0.5
se.healthstatus.2013.isps-http	18	0.5555555555555556	1	0.3888888888888889	0.9444444444444444	0.2777777777777778	0.1111111111111111	0	0	0	0.3888888888888889
se.healthstatus.2013.isps-http-www	19	0.631578947368421	1	0.3684210526315789	1	0.21052631578947367	0.15789473684210525	0	0	0	0.5263157894736842
se.healthstatus.2013.isps-https	6	1	1	0.3333333333333333	1	0.3333333333333333	0.16666666666666666	0	0	0	0.6666666666666666
se.healthstatus.2013.isps-https-www	10	0.5	1	0.3	0.9	0.4	0.2	0	0	0	0.5
se.healthstatus.2013.media-http	25	0.96	1	0.76	1	0.44	0.6	0	0	0	0.88
se.healthstatus.2013.media-http-www	27	0.9629629629629629	1	0.8148148148148148	1	0.4444444444444444	0.5555555555555556	0	0	0	0.8888888888888888
se.healthstatus.2013.media-https	4	1	1	1	1	1	0.25	0	0	0	1
se.healthstatus.2013.media-https-www	5	1	1	0.8	1	0.4	0.2	0	0	0	1
se.healthstatus.2013.municipalities-http	239	0.4811715481171548	0.9790794979079498	0.6610878661087866	0.9665271966527197	0.06276150627615062	0.012552301255230125	0.02092050209205021	0	0	0.39330543933054396
se.healthstatus.2013.municipalities-http-www	258	0.4689922480620155	0.9767441860465116	0.6550387596899225	0.9496124031007752	0.06589147286821706	0.011627906976744186	0.01937984496124031	0	0	0.3643410852713178
se.healthstatus.2013.municipalities-https	41	0.3902439024390244	1	0.6097560975609756	0.9512195121951219	0.024390243902439025	0	0	0	0	0.4634146341463415
se.healthstatus.2013.municipalities-https-www	50	0.36	1	0.64	0.94	0.04	0	0	0	0	0.46
se.healthstatus.2013.public-authorities-http	162	0.345679012345679	0.9753086419753086	0.43209876543209874	0.9320987654320988	0.043209876543209874	0.018518518518518517	0.012345679012345678	0	0	0.32098765432098764
se.healthstatus.2013.public-authorities-http-www	188	0.34574468085106386	0.9893617021276596	0.4148936170212766	0.9202127659574468	0.0425531914893617	0.015957446808510637	0.010638297872340425	0	0	0.31382978723404253
se.healthstatus.2013.public-authorities-https	15	0.2	1	0.2	0.8666666666666667	0.06666666666666667	0	0	0	0	0.4
se.healthstatus.2013.public-authorities-https-www	36	0.3055555555555556	0.9722222222222222	0.3055555555555556	0.8888888888888888	0.05555555555555555	0.027777777777777776	0	0	0	0.4722222222222222
