Dataset	Domains	With R	DWR/D	R/DWR	I	Mix I+E	E	Insec	Mix sec	Sec	Final sec	Mism
alexa.2014-09-01.top.10000-http-www	8682	2702	0.31121861322275973	1.2427831236121392	0.8645447816432272	0.01147298297557365	0.08697261287934863	0.7890451517394522	0.024056254626202814	0.14951887490747595	0.17061435973353073	0.03774981495188749
alexa.2014-09-01.top.10000-https-www	2957	1536	0.5194453838349679	1.2428385416666667	0.9231770833333334	0.011067708333333334	0.03515625	0.6875	0.055989583333333336	0.2265625	0.24479166666666666	0.030598958333333332
alexa.2014-09-01.top.se.10000-http-www	2895	863	0.2981001727115717	1.146002317497103	0.8980301274623407	0.002317497103128621	0.07879490150637311	0.8192352259559675	0.010428736964078795	0.14947856315179606	0.15990730011587487	0.02085747392815759
alexa.2014-09-01.top.se.10000-https-www	650	268	0.4123076923076923	1.2164179104477613	0.9365671641791045	0	0.022388059701492536	0.6529850746268657	0.03731343283582089	0.26865671641791045	0.27611940298507465	0.041044776119402986
se.2014-07-10.random.100000-http-www	77261	18765	0.24287803678440611	1.2626165734079404	0.41007194244604317	0.0035171862509992004	0.5338129496402878	0.9086597388755662	0.01630695443645084	0.023394617639221956	0.03852917665867306	0.05259792166266986
se.2014-07-10.random.100000-https-www	328	115	0.35060975609756095	1.2695652173913043	0.8782608695652174	0.017391304347826087	0.06956521739130435	0.41739130434782606	0.034782608695652174	0.5130434782608696	0.5217391304347826	0.034782608695652174
se.healthstatus.2013.municipalities-http-www	271	26	0.0959409594095941	1.0769230769230769	0.9230769230769231	0	0.038461538461538464	0.8461538461538461	0	0.11538461538461539	0.11538461538461539	0.038461538461538464
se.healthstatus.2013.municipalities-https-www	54	20	0.37037037037037035	1.05	1	0	0	0.7	0	0.3	0.3	0
