Dataset	Domains	w/ int	w/ ext	A/d	I/di	E/de	D/de	I/A	E/A	D/A	E/I	D/E
alexa.2014-09-01.random.10000-http	8216	0.9528967867575463	0.9239289191820838	74.26363193768258	43.83880444501214	35.16480042155184	21.960479515215386	0.5625075801032533	0.4374924198967467	0.27321478325002047	0.7777538212310686	0.6245017532292385
alexa.2014-09-01.random.10000-http-www	8493	0.9430118921464735	0.9213469916401743	73.84728600023548	44.37670121113747	34.731246006389775	21.684984025559107	0.5666796878114113	0.4333203121885887	0.2705501566523434	0.7646653330069525	0.6243652767761212
alexa.2014-09-01.random.10000-https	1135	0.9550660792951542	0.9444933920704845	75.88017621145374	45.95571955719557	33.86940298507463	22.01399253731343	0.5784218104128931	0.42157818958710697	0.2740118898332637	0.7288421390717842	0.6499669494326319
alexa.2014-09-01.random.10000-https-www	1224	0.9656862745098039	0.9305555555555556	71.42401960784314	51.41539763113367	23.397717295873573	14.718173836698858	0.6951603125035746	0.3048396874964254	0.19175731786829553	0.4385171046352821	0.6290431519699813
alexa.2014-09-01.top.10000-http	8545	0.9544763019309538	0.9568168519602106	105.25500292568753	50.09232466895537	60.035591976516635	33.608365949119374	0.4542485912893427	0.5457514087106573	0.3055156525877136	1.201437757157578	0.5598073549814506
alexa.2014-09-01.top.10000-http-www	8682	0.9433310297166552	0.9547339322736696	105.12658373646626	50.78852258852259	59.92894197128725	33.37386898298951	0.45574000037251744	0.5442599996274826	0.30309331890010943	1.1942335524259662	0.5568906756101145
alexa.2014-09-01.top.10000-https	2507	0.9565217391304348	0.944954128440367	82.60470682090147	39.19349457881568	47.7433516251583	28.614605318699873	0.4538413250277657	0.5461586749722342	0.3273359408952629	1.2034132743174515	0.5993421983307399
alexa.2014-09-01.top.10000-https-www	2957	0.9634764964491038	0.9472438282042611	82.28711531958065	41.3994383994384	44.761156729739376	26.14744734023563	0.4847342832366854	0.5152657167633146	0.3009949737591596	1.0629859174035796	0.5841548621745789
alexa.2014-09-01.top.dk.10000-http	2263	0.964206805125939	0.9438798055678304	71.6124613345117	45.47846012832264	29.4124531835206	17.711610486891384	0.6123325455543969	0.38766745444560313	0.23344584379762925	0.6330995424955157	0.6021806605650617
alexa.2014-09-01.top.dk.10000-http-www	2310	0.9575757575757575	0.9445887445887445	71.43852813852814	45.45343580470163	29.550870760769936	17.58615948670944	0.6092665870818007	0.3907334129181993	0.2325312229204414	0.6413176451866366	0.59511476426799
alexa.2014-09-01.top.dk.10000-https	339	0.9587020648967551	0.9321533923303835	73.84660766961652	47.92307692307692	29.93354430379747	18.803797468354432	0.6221538707357993	0.3778461292642007	0.23735719421586643	0.6073194221508829	0.6281847975473095
alexa.2014-09-01.top.dk.10000-https-www	441	0.9614512471655329	0.9206349206349206	67.80272108843538	43.85849056603774	27.844827586206897	16.997536945812808	0.6219189993645697	0.37808100063543026	0.2307949566904117	0.6079264357926436	0.610437859354268
alexa.2014-09-01.top.se.10000-http	2797	0.960672148730783	0.9595995709688953	74.72720772255988	43.88314104949758	33.94113263785395	19.502608047690014	0.5641494268271678	0.43585057317283216	0.2504401661148642	0.7725800159438234	0.5746009791652945
alexa.2014-09-01.top.se.10000-http-www	2895	0.951986183074266	0.9599309153713299	73.47150259067358	44.078011611030476	32.82511694854264	18.854983807124864	0.5711283497884344	0.4288716502115656	0.2463469675599436	0.75091991208357	0.5744072088663794
alexa.2014-09-01.top.se.10000-https	438	0.9748858447488584	0.9634703196347032	73.67808219178082	46.60187353629976	29.317535545023695	16.834123222748815	0.6166217346843915	0.3833782653156084	0.22013572557404482	0.6217397859188903	0.574199806013579
alexa.2014-09-01.top.se.10000-https-www	650	0.9784615384615385	0.9692307692307692	69.53692307692307	44.4748427672956	26.846031746031745	15.095238095238095	0.6258103055377331	0.37418969446226685	0.21040288501958007	0.5979283037545076	0.5622893632117306
com.2014-08-29.random.10000-http	7775	0.7170418006430869	0.8002572347266881	29.149324758842443	13.662242152466368	24.183381549341046	8.946640951462552	0.33607635150638027	0.6639236484936197	0.24561852485924565	1.97551433035304	0.3699499564694389
com.2014-08-29.random.10000-http-www	7811	0.7100243246703367	0.7990014082703879	29.450646524132633	14.079697078975839	24.347540458259893	8.965710623297548	0.33944678945743983	0.6605532105425602	0.24324136342098512	1.9459698281382065	0.36823886333274103
com.2014-08-29.random.10000-https	50	0.9	0.82	45.02	36.75555555555555	14.560975609756097	10.878048780487806	0.7347845402043536	0.26521545979564637	0.19813416259440247	0.36094316807738813	0.7470686767169179
com.2014-08-29.random.10000-https-www	55	0.9818181818181818	0.7818181818181819	48.18181818181818	35.74074074074074	16.74418604651163	11.093023255813954	0.7283018867924528	0.27169811320754716	0.18	0.37305699481865284	0.6625
dk.2014-07-23.random.10000-http	7180	0.6473537604456825	0.6442896935933148	26.14289693593315	17.38102409638554	23.1126242974492	7.959792477302205	0.43039114359690156	0.5696088564030984	0.1961684762341108	1.323467884684417	0.344391548742506
dk.2014-07-23.random.10000-http-www	7378	0.6455679045811873	0.6469232854432095	25.77744646245595	17.226957799706067	22.65535302744605	7.534045673580557	0.4314302840377315	0.5685697159622685	0.18907806042505756	1.3178715936235559	0.3325503541901714
dk.2014-07-23.random.10000-https	23	0.9565217391304348	0.6956521739130435	39.21739130434783	32.95454545454545	11.0625	9.375	0.8037694013303769	0.19623059866962306	0.1662971175166297	0.24413793103448275	0.847457627118644
