Dataset	Domains	Same domain	Subdomain	Superdomain	Same primary	Internal	Mixed	External
alexa.2014-09-01.random.10000-http	8216	0.043816942551119765	0.016066212268743916	0	0.06450827653359299	0.06450827653359299	0.8999513145082765	0.03554040895813048
alexa.2014-09-01.random.10000-http-www	8493	0.0565171317555634	0	0.006593665371482397	0.06758507005769457	0.06758507005769457	0.8864947603909102	0.045920169551395267
alexa.2014-09-01.random.10000-https	1135	0.027312775330396475	0.009691629955947136	0	0.04052863436123348	0.04052863436123348	0.9295154185022027	0.029955947136563875
alexa.2014-09-01.random.10000-https-www	1224	0.05065359477124183	0	0.0016339869281045752	0.06045751633986928	0.06045751633986928	0.9142156862745098	0.025326797385620915
alexa.2014-09-01.top.10000-http	8545	0.014862492685781159	0.01427735517846694	0	0.03382094792276185	0.03393797542422469	0.9297834991222937	0.03627852545348157
alexa.2014-09-01.top.10000-http-www	8682	0.021769177608845888	0	0.002994701681640175	0.03616678184750058	0.03616678184750058	0.9162635337479843	0.04756968440451509
alexa.2014-09-01.top.10000-https	2507	0.02473075388911049	0.012365376944555246	0	0.04268049461507778	0.04268049461507778	0.9262066214599122	0.031112883925009972
alexa.2014-09-01.top.10000-https-www	2957	0.02705444707473791	0	0.0033818058843422386	0.04633074061548867	0.04633074061548867	0.9235711870138654	0.030098072370645924
alexa.2014-09-01.top.dk.10000-http	2263	0.02695536897923111	0.01855943437914273	0	0.04993371630578878	0.04993371630578878	0.9204595669465311	0.029606716747680072
alexa.2014-09-01.top.dk.10000-http-www	2310	0.04199134199134199	0	0.004329004329004329	0.05064935064935065	0.05064935064935065	0.9116883116883118	0.03766233766233766
alexa.2014-09-01.top.dk.10000-https	339	0.032448377581120944	0.011799410029498525	0	0.05309734513274336	0.05309734513274336	0.9203539823008849	0.02654867256637168
alexa.2014-09-01.top.dk.10000-https-www	441	0.05442176870748299	0	0.0022675736961451248	0.06802721088435375	0.06802721088435375	0.9047619047619048	0.027210884353741496
alexa.2014-09-01.top.se.10000-http	2797	0.023954236682159458	0.01144082946013586	0	0.03789774758670004	0.03789774758670004	0.9252770825884876	0.0368251698248123
alexa.2014-09-01.top.se.10000-http-www	2895	0.030397236614853194	0	0.0037996545768566492	0.03730569948186528	0.03730569948186528	0.9174438687392056	0.045250431778929186
alexa.2014-09-01.top.se.10000-https	438	0.0228310502283105	0.00684931506849315	0	0.03424657534246575	0.03424657534246575	0.9429223744292237	0.0228310502283105
alexa.2014-09-01.top.se.10000-https-www	650	0.023076923076923078	0	0.0015384615384615385	0.027692307692307693	0.027692307692307693	0.9538461538461539	0.018461538461538463
com.2014-08-29.random.10000-http	7775	0.11459807073954983	0.019807073954983923	0	0.13787781350482314	0.13787781350482314	0.6410289389067525	0.22109324758842444
com.2014-08-29.random.10000-http-www	7811	0.12648828575086415	0	0.008577646908206376	0.138778645499936	0.138778645499936	0.6334656254000768	0.2277557290999872
com.2014-08-29.random.10000-https	50	0.1	0.02	0	0.12	0.12	0.84	0.04
com.2014-08-29.random.10000-https-www	55	0.18181818181818182	0	0.01818181818181818	0.2	0.2	0.8	0
dk.2014-07-23.random.10000-http	7180	0.2682451253481894	0.023119777158774373	0	0.2976323119777159	0.2976323119777159	0.4077994428969359	0.2945682451253482
dk.2014-07-23.random.10000-http-www	7378	0.2618595825426945	0	0.0279208457576579	0.2934399566278124	0.2934399566278124	0.4117647058823529	0.29479533748983466
dk.2014-07-23.random.10000-https	23	0.2608695652173913	0.043478260869565216	0	0.30434782608695654	0.30434782608695654	0.6521739130434783	0.043478260869565216
dk.2014-07-23.random.10000-https-www	32	0.25	0	0	0.25	0.25	0.71875	0.03125
net.2014-08-29.random.10000-http	7270	0.10453920220082531	0.021045392022008252	0	0.12764786795048144	0.12764786795048144	0.6228335625859698	0.24951856946354883
net.2014-08-29.random.10000-http-www	7378	0.11832474925454052	0	0.00623475196530225	0.12618595825426945	0.12618595825426945	0.6158850637029005	0.25792897804283005
net.2014-08-29.random.10000-https	26	0.23076923076923078	0.07692307692307693	0	0.38461538461538464	0.38461538461538464	0.6153846153846154	0
net.2014-08-29.random.10000-https-www	28	0.21428571428571427	0	0	0.21428571428571427	0.21428571428571427	0.75	0.03571428571428571
reach50.2014w35.se-http	43	0	0	0	0	0	0.9534883720930233	0.046511627906976744
reach50.2014w35.se-http-www	42	0	0	0	0	0	0.9285714285714286	0.07142857142857142
reach50.2014w35.se-https	18	0	0.05555555555555555	0	0.05555555555555555	0.05555555555555555	0.8333333333333333	0.1111111111111111
reach50.2014w35.se-https-www	26	0	0	0	0	0	0.8846153846153846	0.11538461538461539
se.2014-07-10.random.100000-http	73605	0.17638747367705998	0.025867807893485497	0	0.20831465253719178	0.20831465253719178	0.42487602744378783	0.36680932001902045
se.2014-07-10.random.100000-http-www	77261	0.1778775837744787	0	0.026041599254475092	0.20864342941458175	0.20864342941458175	0.4243538136964315	0.3670027568889867
se.2014-07-10.random.100000-https	282	0.1347517730496454	0.01773049645390071	0	0.1595744680851064	0.1595744680851064	0.8120567375886525	0.028368794326241134
se.2014-07-10.random.100000-https-www	328	0.10670731707317073	0	0.006097560975609756	0.11280487804878049	0.11280487804878049	0.8536585365853658	0.03353658536585366
se.healthstatus.2013.counties-http	18	0	0	0	0	0	1	0
se.healthstatus.2013.counties-http-www	21	0	0	0	0	0	0.9523809523809523	0.047619047619047616
se.healthstatus.2013.counties-https	3	0	0	0	0	0	1	0
se.healthstatus.2013.counties-https-www	6	0.16666666666666666	0	0	0.16666666666666666	0.16666666666666666	0.8333333333333334	0
se.healthstatus.2013.domain-registrars-http	127	0.05511811023622047	0.07086614173228346	0	0.13385826771653545	0.13385826771653545	0.7322834645669292	0.13385826771653545
se.healthstatus.2013.domain-registrars-http-www	134	0.1044776119402985	0	0.014925373134328358	0.15671641791044777	0.15671641791044777	0.6940298507462687	0.14925373134328357
se.healthstatus.2013.domain-registrars-https	40	0.025	0.125	0	0.15	0.15	0.825	0.025
se.healthstatus.2013.domain-registrars-https-www	42	0.11904761904761904	0	0	0.14285714285714285	0.14285714285714285	0.8095238095238095	0.047619047619047616
se.healthstatus.2013.financial-services-http	67	0	0	0	0	0	0.9104477611940298	0.08955223880597014
se.healthstatus.2013.financial-services-http-www	72	0.013888888888888888	0	0	0.013888888888888888	0.013888888888888888	0.875	0.1111111111111111
se.healthstatus.2013.financial-services-https	16	0	0	0	0	0	0.9375	0.0625
se.healthstatus.2013.financial-services-https-www	31	0	0	0	0	0	0.967741935483871	0.03225806451612903
se.healthstatus.2013.gocs-http	49	0	0.02040816326530612	0	0.02040816326530612	0.02040816326530612	0.8775510204081632	0.10204081632653061
se.healthstatus.2013.gocs-http-www	57	0.03508771929824561	0	0	0.03508771929824561	0.03508771929824561	0.8421052631578947	0.12280701754385964
se.healthstatus.2013.gocs-https	4	0	0	0	0	0	1	0
se.healthstatus.2013.gocs-https-www	9	0	0	0	0	0	1	0
se.healthstatus.2013.higher-education-http	40	0	0.05	0	0.05	0.05	0.9249999999999999	0.025
se.healthstatus.2013.higher-education-http-www	47	0.06382978723404255	0	0	0.06382978723404255	0.06382978723404255	0.9148936170212766	0.02127659574468085
se.healthstatus.2013.higher-education-https	9	0	0	0	0	0	1	0
se.healthstatus.2013.higher-education-https-www	24	0	0	0	0	0	1	0
se.healthstatus.2013.isps-http	18	0	0	0	0	0	0.9444444444444444	0.05555555555555555
se.healthstatus.2013.isps-http-www	19	0	0	0	0	0	1	0
se.healthstatus.2013.isps-https	6	0	0	0	0	0	1	0
se.healthstatus.2013.isps-https-www	10	0	0	0	0	0	1	0
se.healthstatus.2013.media-http	26	0.038461538461538464	0	0	0.038461538461538464	0.038461538461538464	0.8846153846153846	0.07692307692307693
se.healthstatus.2013.media-http-www	28	0	0	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.8571428571428572	0.10714285714285714
se.healthstatus.2013.media-https	4	0	0	0	0	0	1	0
se.healthstatus.2013.media-https-www	5	0	0	0	0	0	1	0
