Dataset	Domains w/ int	html	script	style	image	data	text	font	object	document	(null)
alexa.2014-09-01.random.10000-http	7591	0.609528675437476	0.8122365563928982	0.8716311150849406	0.9265551155958616	0.07025162856048027	0.07765998211776727	0.024141014178055947	0.0034487163111508496	0	0.3778260314216375
alexa.2014-09-01.random.10000-http-www	7825	0.4748408040953927	0.8249469346984643	0.8848795105506305	0.9386939692845548	0.07029591709327007	0.07678861281058809	0.024472468472967912	0.0036209264577350482	0	0.38219503059058557
alexa.2014-09-01.random.10000-https	1072	0.6688191881918819	0.8062730627306273	0.7841328413284133	0.9455719557195572	0.10516605166051661	0.08394833948339483	0.02952029520295203	0.0018450184501845018	0	0.4086715867158672
alexa.2014-09-01.random.10000-https-www	1139	0.571912013536379	0.8874788494077834	0.9010152284263959	0.94331641285956	0.11590524534686972	0.10998307952622674	0.03807106598984772	0.0025380710659898475	0	0.428087986463621
alexa.2014-09-01.top.10000-http	8176	0.8180480627758705	0.8157184894556155	0.7703531142717018	0.8721186856302109	0.18563021088769005	0.15166748406081412	0.041319274153997054	0.004413928396272682	0	0.3746934771947033
alexa.2014-09-01.top.10000-http-www	8289	0.6272283272283272	0.8251526251526251	0.7804639804639805	0.8831501831501831	0.18864468864468864	0.15152625152625152	0.04151404151404151	0.004273504273504274	0	0.37997557997557996
alexa.2014-09-01.top.10000-https	2369	0.8319432860717264	0.7948290241868223	0.7097581317764804	0.8507089241034195	0.20892410341951625	0.15721434528773978	0.04837364470391994	0.002085070892410342	0	0.38198498748957466
alexa.2014-09-01.top.10000-https-www	2801	0.7195507195507196	0.820989820989821	0.7413127413127413	0.8782028782028782	0.21095121095121094	0.17865917865917866	0.05054405054405054	0.001755001755001755	0	0.4176904176904177
alexa.2014-09-01.top.dk.10000-http	2136	0.7369385884509624	0.8831347387717691	0.918423464711274	0.9367552703941339	0.11778185151237397	0.08020164986251145	0.04720439963336388	0.00229147571035747	0	0.3611365719523373
alexa.2014-09-01.top.dk.10000-http-www	2182	0.5406871609403255	0.8905967450271248	0.9263110307414105	0.9443942133815552	0.11980108499095841	0.08318264014466546	0.04837251356238698	0.0022603978300180833	0	0.36573236889692584
alexa.2014-09-01.top.dk.10000-https	316	0.7753846153846153	0.9323076923076923	0.9138461538461539	0.9446153846153846	0.19076923076923077	0.12	0.09538461538461539	0.003076923076923077	0	0.4153846153846154
alexa.2014-09-01.top.dk.10000-https-www	406	0.6721698113207547	0.9268867924528302	0.9056603773584906	0.9316037735849056	0.1580188679245283	0.09905660377358491	0.07783018867924528	0.0023584905660377358	0	0.455188679245283
alexa.2014-09-01.top.se.10000-http	2684	0.7164123557871231	0.8730926684034239	0.9088202456270934	0.9263118719761816	0.14402679568291776	0.11388165240044659	0.041310011164867884	0.00148864905098623	0	0.3796055080014886
alexa.2014-09-01.top.se.10000-http-www	2779	0.4887518142235123	0.8838896952104499	0.9158200290275762	0.9321480406386067	0.1444121915820029	0.11248185776487664	0.040638606676342524	0.00181422351233672	0	0.3737300435413643
alexa.2014-09-01.top.se.10000-https	422	0.7517564402810304	0.9227166276346604	0.9110070257611241	0.955503512880562	0.23185011709601874	0.10304449648711944	0.05620608899297424	0	0	0.45433255269320844
alexa.2014-09-01.top.se.10000-https-www	630	0.5676100628930818	0.9229559748427673	0.9166666666666666	0.949685534591195	0.21540880503144655	0.10062893081761007	0.06446540880503145	0	0	0.4449685534591195
com.2014-08-29.random.10000-http	6222	0.5788340807174888	0.3809865470852018	0.4651121076233184	0.8055605381165919	0.029237668161434978	0.022242152466367713	0.003587443946188341	0.0028699551569506725	0	0.1937219730941704
com.2014-08-29.random.10000-http-www	6241	0.5167688424089434	0.39199423007573025	0.47818247385503065	0.8139199423007573	0.02993148214929679	0.02271907681211684	0.003606202668589975	0.003425892535160476	0	0.19148936170212766
com.2014-08-29.random.10000-https	41	0.5777777777777777	0.8666666666666667	0.9555555555555556	0.9555555555555556	0.06666666666666667	0.08888888888888889	0.06666666666666667	0	0	0.4444444444444444
com.2014-08-29.random.10000-https-www	43	0.5185185185185185	0.7777777777777778	0.9444444444444444	0.9259259259259259	0.07407407407407407	0.037037037037037035	0.05555555555555555	0	0	0.3888888888888889
dk.2014-07-23.random.10000-http	4626	0.33369191049913943	0.524526678141136	0.65684165232358	0.9184595524956971	0.05572289156626506	0.03270223752151463	0.006024096385542169	0.0017211703958691911	0	0.15339931153184166
dk.2014-07-23.random.10000-http-www	4773	0.2786059206382532	0.5265588914549654	0.653159773252152	0.9124501364686122	0.055637203443208064	0.030233046399328153	0.005668696199874029	0.001679613688851564	0	0.152214990552173
dk.2014-07-23.random.10000-https	16	0.5454545454545454	0.8636363636363636	0.9545454545454546	0.9090909090909091	0.09090909090909091	0	0.22727272727272727	0	0	0.18181818181818182
